Source,Target,Type,Weight,Commands
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/drvinst.exe,spawned,7,"DrvInst.exe ""4"" ""0"" ""C:\Users\ADMINI~1\AppData\Local\Temp\{c089f090-c098-3a4a-b7d0-27e680df9e7f}\NPCAP.inf"" ""9"" ""405306be3"" ""0000000000000B0C"" ""WinSta0\Default"" ""0000000000000B20"" ""208"" ""C:\Program Files\Npcap"" | DrvInst.exe ""4"" ""9"" ""C:\Program Files\Microsoft Office\root\Office16\OneNote\\prnms006.inf"" ""9"" ""44b58805b"" ""0000000000000C68"" ""Service-0x0-3e7$\Default"" ""0000000000000A68"" ""208"" ""C:\Program Files\Microsoft Office\root\Office16\OneNote\"" | DrvInst.exe ""5"" ""0"" ""C:\Windows\System32\DriverStore\FileRepository\vxn65x64.inf_amd64_c593c0df0f473a4e\vxn65x64.inf"" ""0"" ""484ad2367"" ""0000000000000BEC"" ""WinSta0\Default"" | DrvInst.exe ""5"" ""0"" ""C:\Windows\System32\DriverStore\FileRepository\null_hecisystem.inf_amd64_fe9d94bd0664c1b8\null_hecisystem.inf"" ""0"" ""4deebfe63"" ""0000000000000BD8"" ""WinSta0\Default"" | DrvInst.exe ""5"" ""0"" ""C:\Windows\System32\DriverStore\FileRepository\vxn64x64.inf_amd64_df877aee8011acb4\vxn64x64.inf"" ""0"" ""48643ea57"" ""00000000000008E4"" ""WinSta0\Default"""
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/openwith.exe,spawned,15,C:\Windows\system32\OpenWith.exe -Embedding | C:\Windows\system32\OpenWith.exe -Embedding | C:\Windows\system32\OpenWith.exe -Embedding | C:\Windows\system32\OpenWith.exe -Embedding | C:\Windows\system32\OpenWith.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/program files/microsoft office/root/office16/sdxhelper.exe,spawned,1,"""C:\Program Files\Microsoft Office\Root\Office16\SDXHelper.exe"" -Embedding"
proc::c:/windows/system32/svchost.exe,proc::c:/windows/explorer.exe,spawned,9,"C:\Windows\explorer.exe /factory,{75dff2b7-6936-4c06-a8bb-676a7b00b24b} -Embedding | C:\Windows\explorer.exe /NOUACCHECK | C:\Windows\explorer.exe /factory,{75dff2b7-6936-4c06-a8bb-676a7b00b24b} -Embedding | C:\Windows\explorer.exe /factory,{75dff2b7-6936-4c06-a8bb-676a7b00b24b} -Embedding | C:\Windows\explorer.exe /factory,{75dff2b7-6936-4c06-a8bb-676a7b00b24b} -Embedding"
proc::c:/windows/system32/svchost.exe,proc::c:/windows/systemapps/shellexperiencehost_cw5n1h2txyewy/shellexperiencehost.exe,spawned,1,"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca"
proc::c:/windows/system32/svchost.exe,proc::c:/windows/systemapps/microsoft.windows.cortana_cw5n1h2txyewy/searchui.exe,spawned,1,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca"
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/mobsync.exe,spawned,1,C:\Windows\System32\mobsync.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/wbem/wmiprvse.exe,spawned,8,C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding | C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding | C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding | C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding | C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/dllhost.exe,spawned,30,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} | C:\Windows\system32\DllHost.exe /Processid:{49F6E667-6658-4BD1-9DE9-6AF87F9FAF85} | C:\Windows\system32\DllHost.exe /Processid:{DC4537C3-CA73-4AC7-9E1D-B2CE27C3A7A6} | C:\Windows\system32\DllHost.exe /Processid:{DC4537C3-CA73-4AC7-9E1D-B2CE27C3A7A6} | C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/usoclient.exe,spawned,2,C:\Windows\system32\usoclient.exe StartScan | C:\Windows\system32\usoclient.exe RefreshSettings
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/dism.exe,spawned,3,dism /online /enable-feature /featurename:File-Services /NoRestart | dism /online /enable-feature /featurename:File-Services /NoRestart | dism /online /enable-feature /featurename:File-Services /NoRestart
proc::c:/windows/system32/svchost.exe,proc::c:/windows/winsxs/amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.4349_none_7f09d74e21ec00ab/tiworker.exe,spawned,9,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.4349_none_7f09d74e21ec00ab\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.4349_none_7f09d74e21ec00ab\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.4349_none_7f09d74e21ec00ab\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.4349_none_7f09d74e21ec00ab\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.4349_none_7f09d74e21ec00ab\TiWorker.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/taskhostw.exe,spawned,5,taskhostw.exe | taskhostw.exe Install $(Arg0) | taskhostw.exe -RegisterDevice -AccountChange | taskhostw.exe -RegisterUserDevice -NewAccount | taskhostw.exe
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/ctfmon.exe,spawned,3,/QuitInfo:00000000000003A4;0000000000000194;  | /QuitInfo:0000000000000388;0000000000000398;  | /QuitInfo:0000000000000364;0000000000000180; 
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/consent.exe,spawned,3,consent.exe 5476 604 00000238D6136B10 | consent.exe 5476 424 00000238D6158160 | consent.exe 5476 1054 00000238D61B5690
proc::c:/windows/system32/svchost.exe,proc::c:/program files (x86)/bravesoftware/update/1.3.361.151/braveupdateondemand.exe,spawned,1,"""C:\Program Files (x86)\BraveSoftware\Update\1.3.361.151\BraveUpdateOnDemand.exe"" -Embedding"
proc::c:/windows/system32/svchost.exe,proc::c:/windows/winsxs/amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.6700_none_7edb674a220f1eb8/tiworker.exe,spawned,3,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.6700_none_7edb674a220f1eb8\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.6700_none_7edb674a220f1eb8\TiWorker.exe -Embedding | C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.6700_none_7edb674a220f1eb8\TiWorker.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/mshta.exe,spawned,7,C:\Windows\System32\mshta.exe -Embedding | C:\Windows\System32\mshta.exe -Embedding | C:\Windows\System32\mshta.exe -Embedding | C:\Windows\System32\mshta.exe -Embedding | C:\Windows\System32\mshta.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/dmclient.exe,spawned,1,C:\Windows\system32\dmclient.exe utcwnf
proc::c:/windows/system32/svchost.exe,proc::c:/windows/winsxs/amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.18362.411_none_5f53d2d858cf8961/tiworker.exe,spawned,1,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.18362.411_none_5f53d2d858cf8961\TiWorker.exe -Embedding
proc::c:/windows/system32/svchost.exe,proc::c:/windows/system32/slui.exe,spawned,1,C:\Windows\System32\slui.exe -Embedding
proc::c:/windows/system32/services.exe,proc::c:/windows/sysmon64.exe,spawned,113,C:\Windows\sysmon64.exe | C:\Windows\sysmon64.exe | C:\Windows\sysmon64.exe | C:\Windows\sysmon64.exe | C:\Windows\sysmon64.exe
